LGA_NAME,LGA_NAME_R,,Population,Pop/1000,Region,Total_Offences,Criminal_Incidents
ALPINE,ALPINE,,12730,12.73,Country,595,277
ARARAT,ARARAT,,11795,11.795,Country,1390,568
BALLARAT,BALLARAT,,107325,107.325,Country,11132,3396
BANYULE,BANYULE,,130237,130.237,Metro,9700,3139
BASS COAST,BASS COAST,,35327,35.327,Country,2595,956
BAW BAW,BAW BAW,,52015,52.015,Country,4801,1779
BAYSIDE,BAYSIDE,,105718,105.718,Metro,5386,1314
BENALLA,BENALLA,,14024,14.024,Country,1222,546
BOROONDARA,BOROONDARA,,181289,181.289,Metro,8803,1907
BRIMBANK,BRIMBANK,,208714,208.714,Metro,20242,6553
BULOKE,BULOKE,,6184,6.184,Country,366,130
CAMPASPE,CAMPASPE,,37592,37.592,Country,3878,1393
CARDINIA,CARDINIA,,107120,107.12,Metro,7247,2678
CASEY,CASEY,,340419,340.419,Metro,23613,8162
CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS,,13209,13.209,Country,1244,512
COLAC OTWAY,COLAC OTWAY,,21503,21.503,Country,1780,765
CORANGAMITE,CORANGAMITE,,16140,16.14,Country,714,319
DAREBIN,DAREBIN,,161609,161.609,Metro,15161,4220
EAST GIPPSLAND,EAST GIPPSLAND,,46818,46.818,Country,4969,2164
FRANKSTON,FRANKSTON,,141845,141.845,Metro,15061,5728
FRENCH ISLAND,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,119,0.119,Country,0,0
GANNAWARRA,GANNAWARRA,,10547,10.547,Country,775,389
GLEN EIRA,GLEN EIRA,,153858,153.858,Metro,7956,2021
GLENELG,GLENELG,,19665,19.665,Country,1598,694
GOLDEN PLAINS,GOLDEN PLAINS,,23120,23.12,Country,632,173
BENDIGO,GREATER BENDIGO,,116045,116.045,Country,11216,4367
DANDENONG,GREATER DANDENONG,,166094,166.094,Metro,18940,6745
SHEPPARTON,GREATER SHEPPARTON,,66007,66.007,Country,22844,7436
GEELONG,GREATER GEELONG,,252217,252.217,Country,8843,3286
HEPBURN,HEPBURN,,15812,15.812,Country,851,300
HINDMARSH,HINDMARSH,,5645,5.645,Country,356,123
HOBSONS BAY,HOBSONS BAY,,96470,96.47,Metro,6100,2126
HORSHAM,HORSHAM,,19875,19.875,Country,2279,894
HUME,HUME,,224394,224.394,Metro,21529,7381
INDIGO,INDIGO,,16490,16.49,Country,563,189
KINGSTON,KINGSTON,,163431,163.431,Metro,12087,3783
KNOX,KNOX,,163203,163.203,Metro,12115,3916
LATROBE,LATROBE,,75211,75.211,Country,13724,5285
LODDON,LODDON,,7513,7.513,Country,490,187
MACEDON RANGES,MACEDON RANGES,,49388,49.388,Country,2451,836
MANNINGHAM,MANNINGHAM,,125508,125.508,Metro,4729,1373
MANSFIELD,MANSFIELD,,8979,8.979,Country,460,160
MARIBYRNONG,MARIBYRNONG,,91387,91.387,Metro,9388,2696
MAROONDAH,MAROONDAH,,117498,117.498,Metro,8006,2821
MELBOURNE,MELBOURNE,,169961,169.961,Metro,35727,12083
MELTON,MELTON,,156713,156.713,Metro,13378,3813
MILDURA,MILDURA,,55515,55.515,Country,7504,3226
MITCHELL,MITCHELL,,44299,44.299,Country,4691,1774
MOIRA,MOIRA,,29799,29.799,Country,2452,914
MONASH,MONASH,,200077,200.077,Metro,12078,3402
MOONEE VALLEY,MOONEE VALLEY,,127883,127.883,Metro,8611,2577
MOORABOOL,MOORABOOL,,34158,34.158,Country,2219,712
MORELAND,MORELAND,,181725,181.725,Metro,14355,3758
MORNINGTON PENINSULA,MORNINGTON PENINSULA,,165822,165.822,Metro,11807,4145
MOUNT ALEXANDER,MOUNT ALEXANDER,,19514,19.514,Country,1103,400
MOYNE,MOYNE,,16887,16.887,Country,654,260
MURRINDINDI,MURRINDINDI,,14478,14.478,Country,842,297
NILLUMBIK,NILLUMBIK,,64941,64.941,Metro,2266,785
NORTHERN GRAMPIANS,NORTHERN GRAMPIANS,,11431,11.431,Country,1077,467
PORT PHILLIP,PORT PHILLIP,,113200,113.2,Metro,13087,3572
PYRENEES,PYRENEES,,7353,7.353,Country,547,133
QUEENSCLIFFE,QUEENSCLIFFE,,2982,2.982,Country,115,21
SOUTH GIPPSLAND,SOUTH GIPPSLAND,,29579,29.579,Country,1669,641
SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,,16135,16.135,Country,1188,526
STONNINGTON,STONNINGTON,,116207,116.207,Metro,12162,3273
STRATHBOGIE,STRATHBOGIE,,10645,10.645,Country,567,194
SURF COAST,SURF COAST,,32251,32.251,Country,1349,430
SWAN HILL,SWAN HILL,,20759,20.759,Country,2417,1059
TOWONG,TOWONG,,6054,6.054,Country,226,62
WANGARATTA,WANGARATTA,,29087,29.087,Country,2508,1028
WARRNAMBOOL,WARRNAMBOOL,,34862,34.862,Country,3263,1347
WELLINGTON,WELLINGTON,,44019,44.019,Country,4599,1903
WEST WIMMERA,WEST WIMMERA,,3862,3.862,Country,169,75
WHITEHORSE,WHITEHORSE,,176196,176.196,Metro,9341,2512
WHITTLESEA,WHITTLESEA,,223322,223.322,Metro,16556,5718
WODONGA,WODONGA,,41429,41.429,Country,3854,1439
WYNDHAM,WYNDHAM,,255322,255.322,Metro,17542,6030
YARRA,YARRA,,98521,98.521,Metro,14147,4006
YARRA RANGES,YARRA RANGES,,158173,158.173,Metro,8746,2853
YARRIAMBIACK,YARRIAMBIACK,,6658,6.658,Country,554,190
