Harm Caused Flag,Local Government Area,Year,Harm Proportion (AGG),Victim Reports (SUM)
Low Harm,Alpine,2020,0.611353712,140
Medium Harm,Alpine,2020,0.213973799,49
High Harm,Alpine,2020,0.174672489,40
Low Harm,Ararat,2020,0.54743083,277
Medium Harm,Ararat,2020,0.235177866,119
High Harm,Ararat,2020,0.217391304,110
Low Harm,Ballarat,2020,0.609116579,3020
Medium Harm,Ballarat,2020,0.241831384,1199
High Harm,Ballarat,2020,0.149052037,739
Low Harm,Banyule,2020,0.662216288,2480
Medium Harm,Banyule,2020,0.207476636,777
High Harm,Banyule,2020,0.130307076,488
Low Harm,Bass Coast,2020,0.603082852,626
Medium Harm,Bass Coast,2020,0.219653179,228
High Harm,Bass Coast,2020,0.177263969,184
Low Harm,Baw Baw,2020,0.643733333,1207
Medium Harm,Baw Baw,2020,0.218666667,410
High Harm,Baw Baw,2020,0.1376,258
Low Harm,Bayside,2020,0.73877111,2056
Medium Harm,Bayside,2020,0.145167086,404
High Harm,Bayside,2020,0.116061804,323
Low Harm,Benalla,2020,0.521042084,260
Medium Harm,Benalla,2020,0.300601202,150
High Harm,Benalla,2020,0.178356713,89
Low Harm,Boroondara,2020,0.761335013,3627
Medium Harm,Boroondara,2020,0.14231738,678
High Harm,Boroondara,2020,0.096347607,459
Low Harm,Brimbank,2020,0.588588221,4807
Medium Harm,Brimbank,2020,0.228847802,1869
High Harm,Brimbank,2020,0.182563977,1491
Low Harm,Buloke,2020,0.707317073,116
Medium Harm,Buloke,2020,0.12804878,21
High Harm,Buloke,2020,0.164634146,27
Low Harm,Campaspe,2020,0.60475825,788
Medium Harm,Campaspe,2020,0.221795856,289
High Harm,Campaspe,2020,0.173445894,226
Low Harm,Cardinia,2020,0.586492074,1702
Medium Harm,Cardinia,2020,0.247415575,718
High Harm,Cardinia,2020,0.16609235,482
Low Harm,Casey,2020,0.594796622,6127
Medium Harm,Casey,2020,0.260848461,2687
High Harm,Casey,2020,0.144354917,1487
Low Harm,Central Goldfields,2020,0.51214128,232
Medium Harm,Central Goldfields,2020,0.258278146,117
High Harm,Central Goldfields,2020,0.229580574,104
Low Harm,Colac-Otway,2020,0.623672231,411
Medium Harm,Colac-Otway,2020,0.224582701,148
High Harm,Colac-Otway,2020,0.151745068,100
Low Harm,Corangamite,2020,0.582236842,177
Medium Harm,Corangamite,2020,0.217105263,66
High Harm,Corangamite,2020,0.200657895,61
Low Harm,Darebin,2020,0.70593963,5075
Medium Harm,Darebin,2020,0.193768257,1393
High Harm,Darebin,2020,0.100292113,721
Low Harm,East Gippsland,2020,0.525788683,1050
Medium Harm,East Gippsland,2020,0.246870305,493
High Harm,East Gippsland,2020,0.227341012,454
Low Harm,Frankston,2020,0.60742019,3520
Medium Harm,Frankston,2020,0.237618637,1377
High Harm,Frankston,2020,0.154961173,898
Low Harm,Gannawarra,2020,0.474708171,122
Medium Harm,Gannawarra,2020,0.315175097,81
High Harm,Gannawarra,2020,0.210116732,54
Low Harm,Glen Eira,2020,0.716112532,3080
Medium Harm,Glen Eira,2020,0.183213206,788
High Harm,Glen Eira,2020,0.100674262,433
Low Harm,Glenelg,2020,0.569444444,328
Medium Harm,Glenelg,2020,0.234375,135
High Harm,Glenelg,2020,0.196180556,113
Low Harm,Golden Plains,2020,0.614886731,190
Medium Harm,Golden Plains,2020,0.229773463,71
High Harm,Golden Plains,2020,0.155339806,48
Low Harm,Greater Bendigo,2020,0.594094211,2535
Medium Harm,Greater Bendigo,2020,0.243496602,1039
High Harm,Greater Bendigo,2020,0.162409187,693
Low Harm,Greater Dandenong,2020,0.599172485,4634
Medium Harm,Greater Dandenong,2020,0.263770365,2040
High Harm,Greater Dandenong,2020,0.13705715,1060
Low Harm,Greater Geelong,2020,0.630014703,5999
Medium Harm,Greater Geelong,2020,0.198592733,1891
High Harm,Greater Geelong,2020,0.171392565,1632
Low Harm,Greater Shepparton,2020,0.600429975,1955
Medium Harm,Greater Shepparton,2020,0.2002457,652
High Harm,Greater Shepparton,2020,0.199324324,649
Low Harm,Hepburn,2020,0.654462243,286
Medium Harm,Hepburn,2020,0.203661327,89
High Harm,Hepburn,2020,0.14187643,62
Low Harm,Hindmarsh,2020,0.522875817,80
Medium Harm,Hindmarsh,2020,0.281045752,43
High Harm,Hindmarsh,2020,0.196078431,30
Low Harm,Hobsons Bay,2020,0.661550269,1724
Medium Harm,Hobsons Bay,2020,0.189946278,495
High Harm,Hobsons Bay,2020,0.148503454,387
Low Harm,Horsham,2020,0.452112676,321
Medium Harm,Horsham,2020,0.290140845,206
High Harm,Horsham,2020,0.257746479,183
Low Harm,Hume,2020,0.565899582,4869
Medium Harm,Hume,2020,0.281613203,2423
High Harm,Hume,2020,0.152487215,1312
Low Harm,Indigo,2020,0.641732283,163
Medium Harm,Indigo,2020,0.220472441,56
