LGA_NAME_R,Type_of_offence,Count
GREATER SHEPPARTON,Homicide,2
GREATER SHEPPARTON,Assault Related Offences,1133
GREATER SHEPPARTON,Property Offences,5519
GREATER SHEPPARTON,Drug Offences,217
GREATER SHEPPARTON,Public Order Security,398
LATROBE,Homicide,2
LATROBE,Assault Related Offences,1538
LATROBE,Property Offences,4275
LATROBE,Drug Offences,173
LATROBE,Public Order Security,311
GREATER BENDIGO,Homicide,5
GREATER BENDIGO,Assault Related Offences,1341
GREATER BENDIGO,Property Offences,4517
GREATER BENDIGO,Drug Offences,279
GREATER BENDIGO,Public Order Security,573
BALLARAT,Homicide,5
BALLARAT,Assault Related Offences,1308
BALLARAT,Property Offences,5141
BALLARAT,Drug Offences,193
BALLARAT,Public Order Security,422
GREATER GEELONG,Homicide,7
GREATER GEELONG,Assault Related Offences,2653
GREATER GEELONG,Property Offences,9766
GREATER GEELONG,Drug Offences,540
GREATER GEELONG,Public Order Security,982
