LGA_NAME_R,Type_of_offence,Count
MELBOURNE,Homicide,11
MELBOURNE,Assault Related Offences,3985
MELBOURNE,Property Offences,15547
MELBOURNE,Drug Offences,1471
MELBOURNE,Public Order Security,2047
CASEY,Homicide,8
CASEY,Assault Related Offences,3053
CASEY,Property Offences,11123
CASEY,Drug Offences,653
CASEY,Public Order Security,1028
HUME,Homicide,2
HUME,Assault Related Offences,958
HUME,Property Offences,3950
HUME,Drug Offences,316
HUME,Public Order Security,683
GREATER DANDENONG,Homicide,5
GREATER DANDENONG,Assault Related Offences,2383
GREATER DANDENONG,Property Offences,7686
GREATER DANDENONG,Drug Offences,762
GREATER DANDENONG,Public Order Security,1298
WHITTLESEA,Homicide,5
WHITTLESEA,Assault Related Offences,664
WHITTLESEA,Property Offences,5425
WHITTLESEA,Drug Offences,291
WHITTLESEA,Public Order Security,437
